,Anchor,Concept1,Concept2,Category,prompt,gpt_response,gpt_choice
428,Blindworm,Lizard,Turtle,reptile,"Answer using only only word - ""Lizard"" or ""Turtle"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Turtle""",Turtle
429,Lizard,Alligator,Axe,reptile,"Answer using only only word - ""Alligator"" or ""Axe"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?",Axe,Axe
430,Boa python,Lizard,Nail,reptile,"Answer using only only word - ""Lizard"" or ""Nail"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",lizard,fill manually
431,Crocodile,Cobra,Gecko,reptile,"Answer using only only word - ""Cobra"" or ""Gecko"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Cobra""",Cobra
432,Boa python,Caiman,Toad,reptile,"Answer using only only word - ""Caiman"" or ""Toad"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",Toads are amphibians.,Toad
433,Nail,Alligator,Snake,tool,"Answer using only only word - ""Alligator"" or ""Snake"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Alligator""",Alligator
434,Spanner,Lawn Mower,Nail,tool,"Answer using only only word - ""Lawn Mower"" or ""Nail"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Nail,Nail
435,Grinding disk,Crocodile,Lawn Mower,tool,"Answer using only only word - ""Crocodile"" or ""Lawn Mower"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?",Crocodile,Crocodile
436,Gecko,Hammer,Turtle,reptile,"Answer using only only word - ""Hammer"" or ""Turtle"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","Hammer""",Hammer
437,Saw,Crocodile,Dinosaur,tool,"Answer using only only word - ""Crocodile"" or ""Dinosaur"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",a crocodile or dinosaur,fill manually
438,Toad,Blindworm,Crocodile,reptile,"Answer using only only word - ""Blindworm"" or ""Crocodile"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Toad""",Fill manually
439,Blindworm,Turtle,Vacuum,reptile,"Answer using only only word - ""Turtle"" or ""Vacuum"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Turtle""",Turtle
440,Hammer,Screwdriver,Vacuum,tool,"Answer using only only word - ""Screwdriver"" or ""Vacuum"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Hammer""",Fill manually
441,Saw,Alligator,Spanner,tool,"Answer using only only word - ""Alligator"" or ""Spanner"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Alligator,Alligator
442,Spanner,Alligator,Boa python,tool,"Answer using only only word - ""Alligator"" or ""Boa python"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?","Alligator""",Alligator
443,Paint brush,Axe,Salamander,tool,"Answer using only only word - ""Axe"" or ""Salamander"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Salamander""",Salamander
444,Snake,Cobra,Turtle,reptile,"Answer using only only word - ""Cobra"" or ""Turtle"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Snake""",Fill manually
445,Crocodile,Paint brush,Saw,reptile,"Answer using only only word - ""Paint brush"" or ""Saw"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","paint brush""",fill manually
446,Saw,Cobra,Gecko,tool,"Answer using only only word - ""Cobra"" or ""Gecko"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Cobra,Cobra
447,Gecko,Knife,Snake,reptile,"Answer using only only word - ""Knife"" or ""Snake"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","knife""",fill manually
448,Alligator,Crocodile,Knife,reptile,"Answer using only only word - ""Crocodile"" or ""Knife"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Knives are the same""",fill manually
449,Toad,Nail,Paint brush,reptile,"Answer using only only word - ""Nail"" or ""Paint brush"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Nail""",Nail
450,Chameleon,Chisel,Cobra,reptile,"Answer using only only word - ""Chisel"" or ""Cobra"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Cobra""",Cobra
451,Tortoise,Caiman,Chisel,reptile,"Answer using only only word - ""Caiman"" or ""Chisel"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Caiman""",Caiman
452,Lawn Mower,Dinosaur,Nail,tool,"Answer using only only word - ""Dinosaur"" or ""Nail"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Nail""",Nail
453,Tortoise,Snake,Turtle,reptile,"Answer using only only word - ""Snake"" or ""Turtle"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","turtles""",fill manually
454,Crocodile,Blindworm,Salamander,reptile,"Answer using only only word - ""Blindworm"" or ""Salamander"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","salamander""",fill manually
455,Blindworm,Salamander,Vacuum,reptile,"Answer using only only word - ""Salamander"" or ""Vacuum"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Salamander""",Salamander
456,Salamander,Dinosaur,Lizard,reptile,"Answer using only only word - ""Dinosaur"" or ""Lizard"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","lizards""",fill manually
457,Spanner,Hammer,Knife,tool,"Answer using only only word - ""Hammer"" or ""Knife"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Hammer,Hammer
458,Paint brush,Axe,Caiman,tool,"Answer using only only word - ""Axe"" or ""Caiman"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",Axe,Axe
459,Boa python,Alligator,Gecko,reptile,"Answer using only only word - ""Alligator"" or ""Gecko"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",alligator,fill manually
460,Shovel,Boa python,Hammer,tool,"Answer using only only word - ""Boa python"" or ""Hammer"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",boa python,fill manually
461,Lizard,Anvil,Oil can,reptile,"Answer using only only word - ""Anvil"" or ""Oil can"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?",Anvil,Anvil
462,Shovel,Cobra,Snake,tool,"Answer using only only word - ""Cobra"" or ""Snake"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Cobra,Cobra
463,Cobra,Lizard,Shovel,reptile,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Shovel,Shovel
464,Gecko,Dinosaur,Oil can,reptile,"Answer using only only word - ""Dinosaur"" or ""Oil can"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Oil can,Oil can
465,Knife,Caiman,Lizard,tool,"Answer using only only word - ""Caiman"" or ""Lizard"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Caiman""",Caiman
466,Axe,Nail,Salamander,tool,"Answer using only only word - ""Nail"" or ""Salamander"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Nail""",Nail
467,Chisel,Gecko,Shovel,tool,"Answer using only only word - ""Gecko"" or ""Shovel"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Shovel""",Shovel
468,Spanner,Anvil,Saw,tool,"Answer using only only word - ""Anvil"" or ""Saw"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Anvil,Anvil
469,Screwdriver,Cobra,Toad,tool,"Answer using only only word - ""Cobra"" or ""Toad"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Toad""",Toad
470,Saw,Chisel,Dinosaur,tool,"Answer using only only word - ""Chisel"" or ""Dinosaur"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Chisel,Chisel
471,Anvil,Alligator,Shovel,tool,"Answer using only only word - ""Alligator"" or ""Shovel"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",Shovel,Shovel
472,Blindworm,Alligator,Dinosaur,reptile,"Answer using only only word - ""Alligator"" or ""Dinosaur"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Alligator""",Alligator
473,Lizard,Axe,Cobra,reptile,"Answer using only only word - ""Axe"" or ""Cobra"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Cobra""",Cobra
474,Anvil,Caiman,Chameleon,tool,"Answer using only only word - ""Caiman"" or ""Chameleon"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Anvil""",Fill manually
475,Alligator,Hammer,Tortoise,reptile,"Answer using only only word - ""Hammer"" or ""Tortoise"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alli""",fill manually
476,Toad,Caiman,Saw,reptile,"Answer using only only word - ""Caiman"" or ""Saw"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Caiman""",Caiman
477,Nail,Caiman,Vacuum,tool,"Answer using only only word - ""Caiman"" or ""Vacuum"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Caiman""",Caiman
478,Hammer,Gecko,Tortoise,tool,"Answer using only only word - ""Gecko"" or ""Tortoise"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Hammer""",Fill manually
479,Chisel,Axe,Toad,tool,"Answer using only only word - ""Axe"" or ""Toad"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Axe""",Axe
480,Anvil,Saw,Screwdriver,tool,"Answer using only only word - ""Saw"" or ""Screwdriver"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Anvil""",Fill manually
481,Knife,Chisel,Screwdriver,tool,"Answer using only only word - ""Chisel"" or ""Screwdriver"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Screwdriver""",Screwdriver
482,Hammer,Anvil,Gecko,tool,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",Anvil,Anvil
483,Spanner,Blindworm,Oil can,tool,"Answer using only only word - ""Blindworm"" or ""Oil can"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Oil can,Oil can
484,Paint brush,Blindworm,Crocodile,tool,"Answer using only only word - ""Blindworm"" or ""Crocodile"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Crocodile""",Crocodile
485,Chameleon,Salamander,Tortoise,reptile,"Answer using only only word - ""Salamander"" or ""Tortoise"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","turtle""",fill manually
486,Alligator,Lawn Mower,Shovel,reptile,"Answer using only only word - ""Lawn Mower"" or ""Shovel"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alligator""",Fill manually
487,Cobra,Boa python,Salamander,reptile,"Answer using only only word - ""Boa python"" or ""Salamander"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",salamander,fill manually
488,Caiman,Axe,Blindworm,reptile,"Answer using only only word - ""Axe"" or ""Blindworm"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?",Axe,Axe
489,Gecko,Hammer,Lizard,reptile,"Answer using only only word - ""Hammer"" or ""Lizard"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","Hammer""",Hammer
490,Cobra,Anvil,Vacuum,reptile,"Answer using only only word - ""Anvil"" or ""Vacuum"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Anvil,Anvil
491,Crocodile,Snake,Spanner,reptile,"Answer using only only word - ""Snake"" or ""Spanner"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Crocodile""",Fill manually
492,Crocodile,Screwdriver,Tortoise,reptile,"Answer using only only word - ""Screwdriver"" or ""Tortoise"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",Screwdriver,Screwdriver
493,Lawn Mower,Dinosaur,Lizard,tool,"Answer using only only word - ""Dinosaur"" or ""Lizard"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?",dinosaur,fill manually
494,Snake,Lawn Mower,Vacuum,reptile,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","lawn mower""",fill manually
495,Saw,Tortoise,Turtle,tool,"Answer using only only word - ""Tortoise"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","turtle""",fill manually
496,Vacuum,Nail,Snake,tool,"Answer using only only word - ""Nail"" or ""Snake"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Nail""",Nail
497,Vacuum,Boa python,Grinding disk,tool,"Answer using only only word - ""Boa python"" or ""Grinding disk"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",grinding disk,fill manually
498,Lizard,Salamander,Snake,reptile,"Answer using only only word - ""Salamander"" or ""Snake"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","salamander""",fill manually
499,Screwdriver,Blindworm,Salamander,tool,"Answer using only only word - ""Blindworm"" or ""Salamander"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","salamander""",fill manually
500,Anvil,Boa python,Tortoise,tool,"Answer using only only word - ""Boa python"" or ""Tortoise"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",the way they move,fill manually
501,Caiman,Alligator,Spanner,reptile,"Answer using only only word - ""Alligator"" or ""Spanner"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Alligator""",Alligator
502,Alligator,Boa python,Hammer,reptile,"Answer using only only word - ""Boa python"" or ""Hammer"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?",a snake,fill manually
503,Boa python,Snake,Turtle,reptile,"Answer using only only word - ""Snake"" or ""Turtle"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",the way they move,fill manually
504,Anvil,Axe,Screwdriver,tool,"Answer using only only word - ""Axe"" or ""Screwdriver"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Axe""",Axe
505,Axe,Boa python,Hammer,tool,"Answer using only only word - ""Boa python"" or ""Hammer"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",boa python,fill manually
506,Tortoise,Grinding disk,Lawn Mower,reptile,"Answer using only only word - ""Grinding disk"" or ""Lawn Mower"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?",Tortoise,Fill manually
507,Chisel,Axe,Saw,tool,"Answer using only only word - ""Axe"" or ""Saw"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Axe""",Axe
508,Caiman,Alligator,Knife,reptile,"Answer using only only word - ""Alligator"" or ""Knife"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Caiman""",Fill manually
509,Tortoise,Shovel,Turtle,reptile,"Answer using only only word - ""Shovel"" or ""Turtle"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Turtle""",Turtle
510,Lawn Mower,Crocodile,Nail,tool,"Answer using only only word - ""Crocodile"" or ""Nail"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Nail""",Nail
511,Axe,Knife,Saw,tool,"Answer using only only word - ""Knife"" or ""Saw"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Saw""",Saw
512,Alligator,Gecko,Lizard,reptile,"Answer using only only word - ""Gecko"" or ""Lizard"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Gecko""",Gecko
513,Toad,Hammer,Paint brush,reptile,"Answer using only only word - ""Hammer"" or ""Paint brush"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Hammer""",Hammer
514,Nail,Cobra,Screwdriver,tool,"Answer using only only word - ""Cobra"" or ""Screwdriver"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Screwdriver""",Screwdriver
515,Toad,Grinding disk,Turtle,reptile,"Answer using only only word - ""Grinding disk"" or ""Turtle"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Turtle,Turtle
516,Chisel,Chameleon,Cobra,tool,"Answer using only only word - ""Chameleon"" or ""Cobra"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Cobra""",Cobra
517,Spanner,Axe,Shovel,tool,"Answer using only only word - ""Axe"" or ""Shovel"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Shovel,Shovel
518,Nail,Alligator,Cobra,tool,"Answer using only only word - ""Alligator"" or ""Cobra"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",hammer,fill manually
519,Anvil,Saw,Vacuum,tool,"Answer using only only word - ""Saw"" or ""Vacuum"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",saw,fill manually
520,Screwdriver,Boa python,Caiman,tool,"Answer using only only word - ""Boa python"" or ""Caiman"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?",snake,fill manually
521,Chameleon,Oil can,Salamander,reptile,"Answer using only only word - ""Oil can"" or ""Salamander"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",Oil can,Oil can
522,Axe,Anvil,Tortoise,tool,"Answer using only only word - ""Anvil"" or ""Tortoise"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Anvil""",Anvil
523,Turtle,Caiman,Saw,reptile,"Answer using only only word - ""Caiman"" or ""Saw"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Caiman""",Caiman
524,Lawn Mower,Axe,Snake,tool,"Answer using only only word - ""Axe"" or ""Snake"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Axe""",Axe
525,Shovel,Caiman,Dinosaur,tool,"Answer using only only word - ""Caiman"" or ""Dinosaur"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Shovel""",Fill manually
526,Oil can,Cobra,Tortoise,tool,"Answer using only only word - ""Cobra"" or ""Tortoise"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Cobra,Cobra
527,Oil can,Caiman,Turtle,tool,"Answer using only only word - ""Caiman"" or ""Turtle"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Caiman""",Caiman
528,Hammer,Crocodile,Oil can,tool,"Answer using only only word - ""Crocodile"" or ""Oil can"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",Oil can,Oil can
529,Chisel,Crocodile,Lawn Mower,tool,"Answer using only only word - ""Crocodile"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?",Crocodile,Crocodile
530,Anvil,Chisel,Knife,tool,"Answer using only only word - ""Chisel"" or ""Knife"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Anvil""",Fill manually
531,Lizard,Anvil,Grinding disk,reptile,"Answer using only only word - ""Anvil"" or ""Grinding disk"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?",Anvil,Anvil
532,Spanner,Caiman,Chameleon,tool,"Answer using only only word - ""Caiman"" or ""Chameleon"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Caiman,Caiman
533,Oil can,Crocodile,Salamander,tool,"Answer using only only word - ""Crocodile"" or ""Salamander"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","O""",fill manually
534,Paint brush,Hammer,Shovel,tool,"Answer using only only word - ""Hammer"" or ""Shovel"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Pa""",fill manually
535,Turtle,Gecko,Grinding disk,reptile,"Answer using only only word - ""Gecko"" or ""Grinding disk"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",Gecko,Gecko
536,Knife,Hammer,Oil can,tool,"Answer using only only word - ""Hammer"" or ""Oil can"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Hammer""",Hammer
537,Toad,Oil can,Shovel,reptile,"Answer using only only word - ""Oil can"" or ""Shovel"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Shovel,Shovel
538,Axe,Oil can,Screwdriver,tool,"Answer using only only word - ""Oil can"" or ""Screwdriver"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Screwdriver""",Screwdriver
539,Caiman,Gecko,Spanner,reptile,"Answer using only only word - ""Gecko"" or ""Spanner"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Gecko""",Gecko
540,Dinosaur,Knife,Lawn Mower,reptile,"Answer using only only word - ""Knife"" or ""Lawn Mower"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",dinosaur,fill manually
541,Dinosaur,Blindworm,Grinding disk,reptile,"Answer using only only word - ""Blindworm"" or ""Grinding disk"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","D""",fill manually
542,Chisel,Anvil,Nail,tool,"Answer using only only word - ""Anvil"" or ""Nail"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Anvil""",Anvil
543,Blindworm,Hammer,Paint brush,reptile,"Answer using only only word - ""Hammer"" or ""Paint brush"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Hammer""",Hammer
544,Oil can,Dinosaur,Lizard,tool,"Answer using only only word - ""Dinosaur"" or ""Lizard"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","O""",fill manually
545,Alligator,Dinosaur,Grinding disk,reptile,"Answer using only only word - ""Dinosaur"" or ""Grinding disk"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alligator""",Fill manually
546,Chameleon,Axe,Vacuum,reptile,"Answer using only only word - ""Axe"" or ""Vacuum"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Axe""",Axe
547,Gecko,Blindworm,Hammer,reptile,"Answer using only only word - ""Blindworm"" or ""Hammer"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Hammer,Hammer
548,Blindworm,Axe,Oil can,reptile,"Answer using only only word - ""Axe"" or ""Oil can"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Axe,Axe
549,Saw,Axe,Screwdriver,tool,"Answer using only only word - ""Axe"" or ""Screwdriver"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Sa"" is a word that means ""a"" or ""an""",fill manually
550,Vacuum,Chisel,Knife,tool,"Answer using only only word - ""Chisel"" or ""Knife"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Vacuum""",Fill manually
551,Caiman,Hammer,Salamander,reptile,"Answer using only only word - ""Hammer"" or ""Salamander"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Hammer""",Hammer
552,Boa python,Blindworm,Grinding disk,reptile,"Answer using only only word - ""Blindworm"" or ""Grinding disk"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",Blindworm,Blindworm
553,Saw,Grinding disk,Lizard,tool,"Answer using only only word - ""Grinding disk"" or ""Lizard"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Sa""",fill manually
554,Boa python,Oil can,Tortoise,reptile,"Answer using only only word - ""Oil can"" or ""Tortoise"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",the shape of a turtle?,fill manually
555,Gecko,Dinosaur,Spanner,reptile,"Answer using only only word - ""Dinosaur"" or ""Spanner"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","spanner""",fill manually
556,Turtle,Chisel,Screwdriver,reptile,"Answer using only only word - ""Chisel"" or ""Screwdriver"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",a hammer,fill manually
557,Snake,Screwdriver,Spanner,reptile,"Answer using only only word - ""Screwdriver"" or ""Spanner"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",a tool,fill manually
558,Hammer,Cobra,Oil can,tool,"Answer using only only word - ""Cobra"" or ""Oil can"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",Oil can,Oil can
559,Alligator,Blindworm,Chameleon,reptile,"Answer using only only word - ""Blindworm"" or ""Chameleon"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alligator""",Fill manually
560,Shovel,Blindworm,Oil can,tool,"Answer using only only word - ""Blindworm"" or ""Oil can"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Oil can,Oil can
561,Dinosaur,Chisel,Turtle,reptile,"Answer using only only word - ""Chisel"" or ""Turtle"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",a lizard,fill manually
562,Spanner,Gecko,Lizard,tool,"Answer using only only word - ""Gecko"" or ""Lizard"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Gecko,Gecko
563,Salamander,Oil can,Tortoise,reptile,"Answer using only only word - ""Oil can"" or ""Tortoise"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Tortoise""",Tortoise
564,Nail,Blindworm,Turtle,tool,"Answer using only only word - ""Blindworm"" or ""Turtle"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Blindworm""",Blindworm
565,Salamander,Crocodile,Toad,reptile,"Answer using only only word - ""Crocodile"" or ""Toad"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","salamander""",fill manually
566,Caiman,Salamander,Saw,reptile,"Answer using only only word - ""Salamander"" or ""Saw"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Caiman""",Fill manually
567,Axe,Chisel,Lawn Mower,tool,"Answer using only only word - ""Chisel"" or ""Lawn Mower"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","lawn mower is a machine that cuts grass""",fill manually
568,Vacuum,Alligator,Snake,tool,"Answer using only only word - ""Alligator"" or ""Snake"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Alligator""",Alligator
569,Axe,Caiman,Lawn Mower,tool,"Answer using only only word - ""Caiman"" or ""Lawn Mower"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Caiman""",Caiman
570,Snake,Crocodile,Spanner,reptile,"Answer using only only word - ""Crocodile"" or ""Spanner"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",a crocodile,fill manually
571,Axe,Cobra,Dinosaur,tool,"Answer using only only word - ""Cobra"" or ""Dinosaur"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Cobra""",Cobra
572,Toad,Anvil,Chisel,reptile,"Answer using only only word - ""Anvil"" or ""Chisel"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Anvil""",Anvil
573,Cobra,Crocodile,Screwdriver,reptile,"Answer using only only word - ""Crocodile"" or ""Screwdriver"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","Cobra""",Fill manually
574,Saw,Dinosaur,Spanner,tool,"Answer using only only word - ""Dinosaur"" or ""Spanner"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Spanner""",Spanner
575,Turtle,Hammer,Tortoise,reptile,"Answer using only only word - ""Hammer"" or ""Tortoise"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Tortoise""",Tortoise
576,Cobra,Grinding disk,Lizard,reptile,"Answer using only only word - ""Grinding disk"" or ""Lizard"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Lizard,Lizard
577,Caiman,Saw,Snake,reptile,"Answer using only only word - ""Saw"" or ""Snake"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Saw""",Saw
578,Grinding disk,Caiman,Lawn Mower,tool,"Answer using only only word - ""Caiman"" or ""Lawn Mower"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Caiman""",Caiman
579,Tortoise,Paint brush,Shovel,reptile,"Answer using only only word - ""Paint brush"" or ""Shovel"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","paint brush""",fill manually
580,Lizard,Salamander,Tortoise,reptile,"Answer using only only word - ""Salamander"" or ""Tortoise"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","turtle""",fill manually
581,Chameleon,Anvil,Gecko,reptile,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Anvil""",Anvil
582,Anvil,Axe,Dinosaur,tool,"Answer using only only word - ""Axe"" or ""Dinosaur"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Axe""",Axe
583,Lawn Mower,Anvil,Hammer,tool,"Answer using only only word - ""Anvil"" or ""Hammer"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Hammer""",Hammer
